time,latitude,longitude,step,surface,valid_time,sp,tp,t2m,d2m,v10,u10,date,is_fire_day
2006-02-02,60.0,-120.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,93464.81,0.00022559166,259.86862,257.85464,1.9423828,1.0057678,2006-02-02,0
2006-02-02,60.0,-119.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,92524.81,0.00017951727,260.83347,258.93472,2.0429688,0.92178345,2006-02-02,0
2006-02-02,60.0,-119.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,92021.81,0.00013637841,262.14206,260.2238,2.1835938,1.210846,2006-02-02,0
2006-02-02,60.0,-118.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,91659.81,9.686053e-05,262.4448,260.63785,2.383789,1.1756897,2006-02-02,0
2006-02-02,60.0,-118.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,91432.81,7.634163e-05,261.76315,259.96207,1.9101562,1.2294006,2006-02-02,0
2006-02-02,60.0,-117.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,91661.81,5.0786137e-05,261.47604,259.75308,1.5878906,1.6981506,2006-02-02,0
2006-02-02,60.0,-117.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,95430.81,2.990961e-05,262.1362,260.423,1.8242188,1.5985413,2006-02-02,0
2006-02-02,60.0,-116.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,95269.81,2.3293494e-05,262.93893,261.31558,2.258789,1.4169006,2006-02-02,0
2006-02-02,60.0,-116.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,95959.81,2.2310018e-05,263.03854,261.34488,2.265625,1.3876038,2006-02-02,0
2006-02-02,60.0,-115.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,95713.81,2.5632977e-05,260.9858,258.79996,1.9570312,0.78604126,2006-02-02,0
2006-02-02,60.0,-115.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,95626.81,2.8732418e-05,259.46628,257.00504,1.6796875,-0.16220093,2006-02-02,0
2006-02-02,60.0,-114.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,95808.81,2.5230645e-05,261.07175,259.40543,1.4589844,-0.76083374,2006-02-02,0
2006-02-02,60.0,-114.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,95747.81,1.7675757e-05,262.2612,260.6398,1.6376953,-1.2452087,2006-02-02,0
2006-02-02,60.0,-113.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,96065.81,8.824468e-06,262.13034,260.5734,2.2607422,-1.061615,2006-02-02,0
2006-02-02,60.0,-113.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,96425.81,5.173683e-06,262.2241,260.7062,2.2910156,-1.0157166,2006-02-02,0
2006-02-02,60.0,-112.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,96947.81,2.118945e-06,262.40378,260.93082,2.1132812,-1.3965759,2006-02-02,0
2006-02-02,60.0,-112.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,97292.81,4.9352643e-06,262.9233,261.5363,2.328125,-1.6573181,2006-02-02,0
2006-02-02,60.0,-111.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,96868.81,5.90384e-06,263.25925,261.9191,2.6240234,-1.7354431,2006-02-02,0
2006-02-02,60.0,-111.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,96426.81,1.7616152e-05,263.07956,261.6398,2.65625,-1.5850525,2006-02-02,0
2006-02-02,60.0,-110.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,96222.81,4.2188167e-05,262.54636,260.86246,2.8398438,-1.8936462,2006-02-02,0
2006-02-02,60.0,-110.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,95546.81,6.960631e-05,261.80222,259.94254,2.928711,-2.01474,2006-02-02,0
2006-02-02,59.5,-120.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,93014.81,0.00013986528,259.14206,257.1984,2.0039062,-0.34677124,2006-02-02,0
2006-02-02,59.5,-119.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,91629.81,9.361208e-05,260.21432,258.257,2.1513672,0.39736938,2006-02-02,0
2006-02-02,59.5,-119.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,91979.81,5.7670473e-05,259.96823,258.14957,1.9658203,1.3436584,2006-02-02,0
2006-02-02,59.5,-118.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,91610.81,3.977418e-05,257.98972,256.33316,1.3017578,1.3465881,2006-02-02,0
2006-02-02,59.5,-118.0,0 days 12:00:00,0.0,2006-02-02 12:00:00,93024.81,2.4560093e-05,257.4448,255.70816,1.1923828,1.6161194,2006-02-02,0
2006-02-02,59.5,-117.5,0 days 12:00:00,0.0,2006-02-02 12:00:00,95332.81,1.6930699e-05,258.2983,256.72183,1.6689453,1.3631897,2006-02-02,0
