time,latitude,longitude,step,surface,valid_time,slhf,d2m,sp,str,lai_lv,t2m,u10,sshf,ssrd,lai_hv,v10,tp,e,strd,ssr,date,is_fire_day,railway_count,industrial_count,power_line_count
2006-01-01,60.0,-111.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-237928.0,268.14014,96633.75,-568525.0,0.0,269.66235,-1.2041683,779864.0,0.0,1.0390625,2.2033234,0.00040272623,-8.3940104e-05,12309072.0,0.0,2006-01-01,0,0,0,0
2006-01-01,60.0,-110.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,-243596.0,267.96436,96412.75,-525657.0,1.222168,269.48462,-1.3750668,749936.0,0.0,1.1166992,2.308792,0.00032404065,-8.5940585e-05,12310210.0,0.0,2006-01-01,0,0,0,0
2006-01-01,60.0,-110.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-225412.0,267.57764,95724.75,-540851.0,1.1546631,269.0432,-1.4585629,721766.0,0.0,1.2456055,2.4123077,0.00035910308,-7.95247e-05,12215159.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-120.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,-21908.0,264.12842,93186.75,-800680.0,0.0,265.14868,-1.1865902,556292.0,0.0,1.1328125,1.2326202,7.4379146e-05,-5.990267e-06,11222496.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-119.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,34922.0,264.98193,91815.75,-552836.0,1.1888428,265.87524,-1.3140316,320604.0,0.0,1.1141357,1.3234406,9.3989074e-05,1.517497e-05,11624657.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-119.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,52280.0,265.35498,92180.75,-335743.0,0.49438477,266.14868,-1.3277035,110456.0,0.0,1.1420898,1.5334015,0.00011870265,2.1664426e-05,11978517.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-118.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,144430.0,265.6128,91861.75,-343377.0,1.8636475,266.34204,-1.1328793,33754.0,0.0,1.1618652,1.2814484,0.00017674267,5.8004633e-05,12042969.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-118.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,201352.0,265.9038,93269.75,-571327.0,2.6760254,266.5647,-0.65875816,204504.0,0.0,1.2486572,1.1496124,0.00022178143,8.0110505e-05,11883536.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-117.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,84682.0,265.86475,95540.75,-857025.0,0.0,266.8401,0.08147621,515354.0,0.0,1.1259766,1.3273468,0.00015761703,3.406871e-05,11643216.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-117.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,73324.0,264.3374,95283.75,-693333.0,0.0,265.51587,0.12542152,211396.0,0.0,1.0438232,1.509964,9.357184e-05,2.8776936e-05,11438302.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-116.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,72240.0,264.03076,94664.75,-772038.0,0.0,265.3811,-0.58112144,333872.0,0.0,1.0871582,1.603714,7.108599e-05,2.8676353e-05,11290979.0,0.0,2006-01-01,0,0,0,0
2006-01-01,59.5,-116.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,7052.0,264.1714,92478.75,-1072278.0,0.0,265.63306,-0.98981285,757990.0,0.0,1.1328125,1.5451202,8.4251165e-05,4.440546e-06,11121616.0,0.0,2006-01-01,0,0,0,0
