time,latitude,longitude,step,surface,valid_time,t2m,sp,u10,v10,d2m,tp,e,lai_lv,lai_hv,sshf,slhf,ssrd,strd,ssr,str,date,is_fire_day
2006-01-01,60.0,-110.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,269.48462,96412.75,-1.3750668,2.308792,267.96436,0.00032404065,-8.5940585e-05,1.222168,1.1166992,749936.0,-243596.0,0.0,12310210.0,0.0,-525657.0,2006-01-01,0
2006-01-01,60.0,-110.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,269.0432,95724.75,-1.4585629,2.4123077,267.57764,0.00035910308,-7.95247e-05,1.1546631,1.2456055,721766.0,-225412.0,0.0,12215159.0,0.0,-540851.0,2006-01-01,0
2006-01-01,59.5,-120.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,265.14868,93186.75,-1.1865902,1.2326202,264.12842,7.4379146e-05,-5.990267e-06,0.0,1.1328125,556292.0,-21908.0,0.0,11222496.0,0.0,-800680.0,2006-01-01,0
2006-01-01,59.5,-119.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,265.87524,91815.75,-1.3140316,1.3234406,264.98193,9.3989074e-05,1.517497e-05,1.1888428,1.1141357,320604.0,34922.0,0.0,11624657.0,0.0,-552836.0,2006-01-01,0
2006-01-01,59.5,-119.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,266.14868,92180.75,-1.3277035,1.5334015,265.35498,0.00011870265,2.1664426e-05,0.49438477,1.1420898,110456.0,52280.0,0.0,11978517.0,0.0,-335743.0,2006-01-01,0
2006-01-01,59.5,-118.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,266.34204,91861.75,-1.1328793,1.2814484,265.6128,0.00017674267,5.8004633e-05,1.8636475,1.1618652,33754.0,144430.0,0.0,12042969.0,0.0,-343377.0,2006-01-01,0
2006-01-01,59.5,-118.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,266.5647,93269.75,-0.65875816,1.1496124,265.9038,0.00022178143,8.0110505e-05,2.6760254,1.2486572,204504.0,201352.0,0.0,11883536.0,0.0,-571327.0,2006-01-01,0
2006-01-01,59.5,-117.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,266.8401,95540.75,0.08147621,1.3273468,265.86475,0.00015761703,3.406871e-05,0.0,1.1259766,515354.0,84682.0,0.0,11643216.0,0.0,-857025.0,2006-01-01,0
2006-01-01,59.5,-117.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,265.51587,95283.75,0.12542152,1.509964,264.3374,9.357184e-05,2.8776936e-05,0.0,1.0438232,211396.0,73324.0,0.0,11438302.0,0.0,-693333.0,2006-01-01,0
2006-01-01,59.5,-116.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,265.3811,94664.75,-0.58112144,1.603714,264.03076,7.108599e-05,2.8676353e-05,0.0,1.0871582,333872.0,72240.0,0.0,11290979.0,0.0,-772038.0,2006-01-01,0
2006-01-01,59.5,-116.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,265.63306,92478.75,-0.98981285,1.5451202,264.1714,8.4251165e-05,4.440546e-06,0.0,1.1328125,757990.0,7052.0,0.0,11121616.0,0.0,-1072278.0,2006-01-01,0
2006-01-01,59.5,-115.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,264.52368,90211.75,-0.57526207,1.5607452,263.0874,0.000111460686,-5.410984e-07,0.0,1.1328125,903190.0,-8102.0,0.0,10910459.0,0.0,-1234190.0,2006-01-01,0
2006-01-01,59.5,-115.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,264.2268,90135.75,0.18157387,1.7160187,262.8667,0.00012605637,1.3225712e-05,0.0,1.1269531,1002224.0,29436.0,0.0,10743406.0,0.0,-1311957.0,2006-01-01,0
2006-01-01,59.5,-114.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,264.54907,91534.75,0.4305973,1.7931671,263.27295,0.00012449175,1.5525147e-05,0.0,1.1674805,1172032.0,36538.0,0.0,10647156.0,0.0,-1482851.0,2006-01-01,0
2006-01-01,59.5,-114.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,264.99243,95532.75,-0.124578476,1.8888702,263.66357,0.00011791289,2.2619963e-05,0.0,1.1381836,1292428.0,55764.0,0.0,10612734.0,0.0,-1672179.0,2006-01-01,0
2006-01-01,59.5,-113.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,265.88892,95967.75,-0.5825863,1.9201202,264.81006,0.00013057142,7.1153976e-05,0.0,1.0656738,1218424.0,178968.0,0.0,10732353.0,0.0,-1717693.0,2006-01-01,0
2006-01-01,59.5,-113.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,267.1604,96254.75,-0.8301449,1.869339,266.20654,0.00016309321,3.008917e-05,0.0,1.0390625,1185602.0,71824.0,0.0,10997003.0,0.0,-1611885.0,2006-01-01,0
2006-01-01,59.5,-112.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,267.6233,96473.75,-0.90924644,1.7785187,266.76123,0.00020229071,1.6540289e-06,0.0,1.1328125,1207102.0,-2026.0,0.0,11333932.0,0.0,-1371229.0,2006-01-01,0
2006-01-01,59.5,-112.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,268.66626,97027.75,-0.9370785,1.8527374,267.78076,0.00028146058,-4.364364e-05,0.0,1.0478516,1174750.0,-123706.0,0.0,11697924.0,0.0,-1151782.0,2006-01-01,0
2006-01-01,59.5,-111.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,269.53735,97271.75,-1.0532894,1.9396515,268.07568,0.00035927445,-7.210206e-05,0.0,1.043335,1059396.0,-204374.0,0.0,12024711.0,0.0,-913779.0,2006-01-01,0
2006-01-01,59.5,-111.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,269.84204,96850.75,-1.2593441,2.0363312,268.10107,0.00036708266,-8.543674e-05,0.0,1.0390625,917160.0,-242170.0,0.0,12229961.0,0.0,-711524.0,2006-01-01,0
2006-01-01,59.5,-110.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,269.64868,96544.75,-1.3159847,1.9269562,268.01318,0.00037882477,-7.77822e-05,0.0,1.0406494,784628.0,-220472.0,0.0,12286157.0,0.0,-597557.0,2006-01-01,0
2006-01-01,59.5,-110.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,269.61743,96762.75,-2.042059,2.425003,268.0327,0.0004053414,-8.317735e-05,0.3605957,1.079956,837472.0,-235764.0,0.0,12234139.0,0.0,-642699.0,2006-01-01,0
2006-01-01,59.0,-120.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,263.719,94621.75,-1.5640316,0.12519836,262.76904,6.792694e-05,9.206124e-06,0.0,1.1328125,177028.0,20994.0,0.0,10838378.0,0.0,-685655.0,2006-01-01,0
2006-01-01,59.0,-119.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,265.77954,94311.75,-1.7554379,0.4337921,264.89014,6.760657e-05,1.9188039e-05,0.0,1.1328125,145994.0,48308.0,0.0,11359309.0,0.0,-508786.0,2006-01-01,0
2006-01-01,59.0,-119.0,0 days 12:00:00,0.0,2006-01-01 12:00:00,266.77368,94915.75,-1.6284847,0.39668274,265.9292,9.819865e-05,2.3256987e-05,0.0,1.1328125,117812.0,59088.0,0.0,11853594.0,0.0,-397809.0,2006-01-01,0
2006-01-01,59.0,-118.5,0 days 12:00:00,0.0,2006-01-01 12:00:00,267.44946,95133.75,-1.4234066,0.7707062,266.56982,9.75579e-05,2.5374815e-05,2.9608154,1.1867676,379482.0,63774.0,0.0,11986186.0,0.0,-594838.0,2006-01-01,0
