time,latitude,longitude,step,surface,valid_time,t2m,sp,u10,v10,d2m,tp,e,lai_lv,lai_hv,sshf,slhf,ssrd,strd,ssr,str,date,is_fire_day
2006-02-01,60.0,-110.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,255.33388,96076.0,-2.6060486,2.2426224,252.14975,4.4184922e-05,-3.0389056e-05,1.222168,1.1166992,2250500.0,-86138.0,0.0,8621031.0,0.0,-1341856.0,2006-02-01,0
2006-02-01,60.0,-110.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,254.65224,95389.0,-2.8189392,2.398384,251.29623,3.3545493e-05,-3.2028183e-05,1.1546631,1.2937012,2289972.0,-90784.0,0.0,8551445.0,0.0,-1308518.0,2006-02-01,0
2006-02-01,59.5,-120.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,261.2284,92426.0,-1.2398376,1.5692825,259.89584,1.4457107e-05,5.431194e-05,0.0,1.1838379,625400.0,133954.0,800.0,10295327.0,518.0,-866099.0,2006-02-01,0
2006-02-01,59.5,-119.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,260.68738,91067.0,-1.5401306,1.4389114,259.25912,2.1132826e-05,5.7113357e-05,1.1888428,1.145874,591464.0,142322.0,406.0,10310525.0,276.0,-783018.0,2006-02-01,0
2006-02-01,59.5,-119.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,259.59363,91461.0,-1.5762634,1.7108841,257.98178,3.0498206e-05,3.8421713e-05,0.49438477,1.1429443,578124.0,96076.0,132.0,10189059.0,88.0,-748368.0,2006-02-01,0
2006-02-01,59.5,-118.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,258.81238,91144.0,-1.4253845,1.0702591,257.10678,3.9424e-05,4.546065e-05,1.8636475,1.199585,632724.0,114050.0,0.0,9962887.0,0.0,-883635.0,2006-02-01,0
2006-02-01,59.5,-118.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,258.10925,92579.0,-0.8164978,0.11664581,256.34116,3.864914e-05,2.055429e-05,2.6760254,1.2700195,458028.0,50572.0,0.0,9618215.0,0.0,-1061431.0,2006-02-01,0
2006-02-01,59.5,-117.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,256.41394,94896.0,-0.2124939,-0.9536667,254.7142,2.2421777e-05,-1.4891848e-06,0.0,1.1743164,576780.0,-7112.0,0.0,9285565.0,0.0,-1372718.0,2006-02-01,0
2006-02-01,59.5,-117.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,254.55849,94622.0,-0.71932983,-1.0571823,252.66537,8.817017e-06,-6.3264742e-06,0.0,1.0904541,775740.0,-21322.0,0.0,8977047.0,0.0,-1744947.0,2006-02-01,0
2006-02-01,59.5,-116.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,256.73816,93988.0,-1.2789001,0.44574738,255.26108,2.95341e-06,1.6540289e-05,0.0,1.0952148,1181528.0,38324.0,0.0,8846285.0,0.0,-2121372.0,2006-02-01,0
2006-02-01,59.5,-116.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,261.4452,91781.0,-1.1871033,1.5980911,259.96616,2.2381544e-06,6.6062436e-05,0.0,1.1328125,1989624.0,163994.0,0.0,8939657.0,0.0,-2421039.0,2006-02-01,0
2006-02-01,59.5,-115.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,260.8573,89519.0,-0.6910095,1.7626419,259.0599,2.9087066e-06,6.198697e-05,0.0,1.133667,1765384.0,157184.0,0.0,9125047.0,0.0,-2103160.0,2006-02-01,0
2006-02-01,59.5,-115.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,259.87488,89464.0,-0.1343689,1.9345169,258.2357,4.9874184e-06,5.6632794e-05,0.0,1.1221924,1568636.0,140018.0,0.0,9198839.0,0.0,-1949893.0,2006-02-01,0
2006-02-01,59.5,-114.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,259.18542,90901.0,-0.087005615,2.0658646,257.54623,5.866587e-06,5.34812e-05,0.0,1.2463379,1567704.0,129850.0,0.0,9016455.0,0.0,-1928361.0,2006-02-01,0
2006-02-01,59.5,-114.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,257.22058,95003.0,-0.7364197,1.9540482,255.24936,6.149709e-06,9.01334e-06,0.0,1.1900635,1640804.0,16090.0,0.0,8667117.0,0.0,-1855363.0,2006-02-01,0
2006-02-01,59.5,-113.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,256.52136,95471.0,-1.1353455,1.7494583,254.39389,1.2989342e-05,1.4053658e-06,0.0,1.1158447,1762448.0,-3976.0,0.0,8488933.0,0.0,-1807018.0,2006-02-01,0
2006-02-01,59.5,-113.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,256.453,95772.0,-1.6602478,1.4525833,254.69467,1.7757713e-05,6.452203e-05,0.0,1.0922852,1938316.0,165642.0,0.0,8562641.0,0.0,-1763238.0,2006-02-01,0
2006-02-01,59.5,-112.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,258.19324,96001.0,-1.8960876,1.4652786,256.31772,1.488179e-05,1.4624558e-05,0.0,1.25354,1912284.0,30190.0,0.0,8656221.0,0.0,-1801119.0,2006-02-01,0
2006-02-01,59.5,-112.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,258.65027,96592.0,-2.1236267,1.615181,256.69858,2.8225779e-05,-3.312528e-05,0.0,1.1407471,2028884.0,-95280.0,0.0,8640349.0,0.0,-1806968.0,2006-02-01,0
2006-02-01,59.5,-111.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,258.56238,96868.0,-2.4327087,1.6137161,256.13412,3.9565562e-05,-4.0816143e-05,0.0,1.1418457,2112660.0,-115692.0,0.0,8594119.0,0.0,-1741617.0,2006-02-01,0
2006-02-01,59.5,-111.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,257.77917,96465.0,-2.8223572,1.5985794,255.01303,7.681847e-05,-5.0901435e-05,0.0,1.0904541,1998780.0,-144280.0,0.0,8588033.0,0.0,-1593975.0,2006-02-01,0
2006-02-01,59.5,-110.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,256.21863,96200.0,-2.9527283,1.3539505,253.36655,0.000134255,-2.660323e-05,0.0,1.0406494,1804576.0,-75404.0,0.0,8602359.0,0.0,-1347342.0,2006-02-01,0
2006-02-01,59.5,-110.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,254.79286,96477.0,-4.3125916,0.8412552,251.74155,0.00014122874,-4.168693e-05,0.3605957,1.1275635,1674016.0,-118160.0,0.0,8564351.0,0.0,-1291528.0,2006-02-01,0
2006-02-01,59.0,-120.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,258.61316,93887.0,-1.5977478,-0.17778778,257.02475,2.2533535e-05,5.7579018e-05,0.0,1.2313232,868388.0,141748.0,1964.0,9596405.0,1270.0,-1385688.0,2006-02-01,0
2006-02-01,59.0,-119.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,259.1034,93588.0,-2.2095642,-0.13726044,257.5638,2.2876262e-05,6.849319e-05,0.0,1.2784424,970920.0,169854.0,1248.0,9595819.0,808.0,-1447640.0,2006-02-01,0
2006-02-01,59.0,-119.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,258.6952,94224.0,-1.9312439,-0.17681122,257.0306,2.3837387e-05,5.3089112e-05,0.0,1.230835,1014136.0,131204.0,752.0,9509459.0,486.0,-1483553.0,2006-02-01,0
2006-02-01,59.0,-118.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,258.6366,94448.0,-1.7134705,-0.13970184,256.8724,2.1252035e-05,3.8634986e-05,2.9608154,1.2451172,1085040.0,94490.0,336.0,9448377.0,226.0,-1547714.0,2006-02-01,0
2006-02-01,59.0,-118.0,0 days 12:00:00,0.0,2006-02-01 12:00:00,259.20886,94560.0,-1.7471619,0.34955597,257.53647,1.6349553e-05,4.978571e-05,0.0,1.2164307,1230836.0,122496.0,58.0,9376185.0,38.0,-1641646.0,2006-02-01,0
2006-02-01,59.0,-117.5,0 days 12:00:00,0.0,2006-02-01 12:00:00,260.32996,94537.0,-1.5611267,1.5429153,258.53452,1.398027e-05,1.351349e-06,0.0,1.2419434,1587296.0,-2126.0,0.0,9306041.0,0.0,-1767983.0,2006-02-01,0
