time,latitude,longitude,step,surface,valid_time,sp,tp,t2m,d2m,v10,u10,date,is_fire_day
2006-03-02,59.5,-115.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,93371.0,1.4394521e-06,250.5867,247.66803,1.9640131,0.0033721924,2006-03-02,0
2006-03-02,59.5,-114.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,94883.0,9.775162e-07,251.36404,248.36334,2.062646,0.35298157,2006-03-02,0
2006-03-02,59.5,-114.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99215.0,8.5830686e-07,251.27615,248.27155,1.9181147,0.024856567,2006-03-02,0
2006-03-02,59.5,-113.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99653.0,8.5830686e-07,250.28397,248.01764,1.0919428,-0.69096375,2006-03-02,0
2006-03-02,59.5,-113.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99947.0,8.5830686e-07,252.19608,249.70514,0.40248966,-2.1118622,2006-03-02,0
2006-03-02,59.5,-112.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,100174.0,8.5830686e-07,251.58084,249.08209,-0.15805721,-2.266159,2006-03-02,0
2006-03-02,59.5,-112.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100761.0,8.5830686e-07,251.97928,249.36139,-0.7029791,-1.9819794,2006-03-02,0
2006-03-02,59.5,-111.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,101007.0,8.5830686e-07,253.35818,250.50201,-0.76645565,-2.1186981,2006-03-02,0
2006-03-02,59.5,-111.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100518.0,8.5830686e-07,254.53787,251.27545,-0.53989315,-2.2222137,2006-03-02,0
2006-03-02,59.5,-110.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,100146.0,8.5830686e-07,255.29373,252.06842,-0.50571346,-1.9497528,2006-03-02,0
2006-03-02,59.5,-110.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100334.0,8.5830686e-07,256.18045,252.84381,-0.9061041,-2.0825653,2006-03-02,0
2006-03-02,59.0,-120.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,98098.0,9.0301035e-07,256.6531,254.07819,0.2501459,-2.2124481,2006-03-02,0
2006-03-02,59.0,-119.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,97803.0,8.5830686e-07,256.24686,253.66608,0.2062006,-2.545456,2006-03-02,0
2006-03-02,59.0,-119.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,98488.0,8.5830686e-07,255.5828,253.08795,0.0421381,-2.1870575,2006-03-02,0
2006-03-02,59.0,-118.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,98734.0,8.5830686e-07,255.116,252.68951,0.028466225,-1.8706512,2006-03-02,0
2006-03-02,59.0,-118.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,98862.0,8.5830686e-07,255.26639,252.47858,0.6544428,-2.10112,2006-03-02,0
2006-03-02,59.0,-117.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,98849.0,8.5830686e-07,255.45584,252.37897,1.52456,-2.0122528,2006-03-02,0
2006-03-02,59.0,-117.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,98009.0,8.5830686e-07,255.7117,252.45319,1.7550287,-1.8306122,2006-03-02,0
2006-03-02,59.0,-116.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,95611.0,8.5830686e-07,256.15897,252.2403,1.455224,-1.953659,2006-03-02,0
2006-03-02,59.0,-116.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,93676.0,1.0222196e-06,255.0281,251.32819,1.0167475,-1.9477997,2006-03-02,0
2006-03-02,59.0,-115.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,93278.0,1.2606382e-06,254.12576,250.62115,0.72084904,-1.7827606,2006-03-02,0
2006-03-02,59.0,-115.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,93346.0,1.1712312e-06,252.3406,248.63287,0.41616154,-1.1626434,2006-03-02,0
2006-03-02,59.0,-114.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,94967.0,8.5830686e-07,253.75272,249.76959,-0.42465878,-0.21147156,2006-03-02,0
2006-03-02,59.0,-114.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,96579.0,8.5830686e-07,251.53592,248.30475,-1.1248541,0.8266144,2006-03-02,0
2006-03-02,59.0,-113.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,100368.0,8.5830686e-07,250.44217,247.98053,-1.372901,0.2689972,2006-03-02,0
2006-03-02,59.0,-113.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100529.0,8.5830686e-07,252.20975,249.59186,-1.232276,-1.6753387,2006-03-02,0
2006-03-02,59.0,-112.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,100568.0,8.5830686e-07,253.31326,250.58405,-1.0555182,-1.984909,2006-03-02,0
2006-03-02,59.0,-112.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100936.0,8.5830686e-07,254.61404,251.86725,-1.2801275,-1.8452606,2006-03-02,0
2006-03-02,59.0,-111.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,101088.0,8.5830686e-07,255.23709,252.35358,-1.0936041,-1.9663544,2006-03-02,0
2006-03-02,59.0,-111.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100711.0,8.5830686e-07,255.9656,253.07819,-1.0496588,-2.054245,2006-03-02,0
2006-03-02,59.0,-110.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,101203.0,8.5830686e-07,256.91873,254.28131,-1.388526,-2.3520966,2006-03-02,0
2006-03-02,59.0,-110.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,100988.0,8.5830686e-07,256.991,254.32623,-1.0232916,-2.4272919,2006-03-02,0
2006-03-02,58.5,-120.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,97697.0,8.5830686e-07,257.88748,255.18756,0.31362247,-2.2407684,2006-03-02,0
2006-03-02,58.5,-119.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,96386.0,8.5830686e-07,256.8738,254.27155,0.758935,-2.2319794,2006-03-02,0
2006-03-02,58.5,-119.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,97092.0,8.5830686e-07,255.58475,253.30475,1.0030756,-1.9653778,2006-03-02,0
2006-03-02,58.5,-118.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,98304.0,9.3281267e-07,254.98514,252.74811,1.2218256,-1.8345184,2006-03-02,0
2006-03-02,58.5,-118.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,98181.0,8.73208e-07,254.75076,252.44537,1.0519037,-1.9409637,2006-03-02,0
2006-03-02,58.5,-117.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,98709.0,8.5830686e-07,254.26248,251.87311,0.5753412,-2.0122528,2006-03-02,0
2006-03-02,58.5,-117.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99424.0,8.5830686e-07,253.47147,251.22272,0.56655216,-2.1470184,2006-03-02,0
2006-03-02,58.5,-116.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99482.0,8.5830686e-07,254.75272,252.22272,0.5206537,-2.3999481,2006-03-02,0
2006-03-02,58.5,-116.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99366.0,8.5830686e-07,254.16287,251.47467,0.0030755997,-2.1108856,2006-03-02,0
2006-03-02,58.5,-115.5,0 days 12:00:00,0.0,2006-03-02 12:00:00,99525.0,8.5830686e-07,254.31131,251.6153,-0.6395025,-1.8227997,2006-03-02,0
2006-03-02,58.5,-115.0,0 days 12:00:00,0.0,2006-03-02 12:00:00,99958.0,8.5830686e-07,253.55154,250.70319,-1.2195807,-1.3686981,2006-03-02,0
