Time,Latitude,Longitude,Elevation
193922071.135384,-49.928047,261.683675,-5.464
193922071.160384,-49.926517,261.68330299999997,-6.688
193922071.185384,-49.924986999999994,261.682931,-6.516
193922071.21038398,-49.923457,261.682558,-7.5360000000000005
193922071.235384,-49.921927,261.682187,-6.978
193922071.260384,-49.920393999999995,261.68181899999996,-7.472
193922071.285384,-49.918859999999995,261.681454,-5.168
193922071.310384,-49.917325,261.681091,-6.816
193922071.33538398,-49.915789,261.68073,-6.746
193922071.360384,-49.914252,261.680373,-6.7490000000000006
193922071.385384,-49.912714,261.680019,-6.09
193922071.410384,-49.911176,261.679665,-8.668000000000001
193922071.435384,-49.909638,261.679313,-5.773
193922071.46038398,-49.908102,261.678963,-6.126
193922071.485384,-49.906566,261.678612,-5.973
193922071.510384,-49.90503,261.67826099999996,-6.782
193922071.535384,-49.903495,261.677908,-6.885
193922071.560384,-49.901959999999995,261.67755,-7.063
193922071.58538398,-49.900425999999996,261.67719,-6.327
193922071.610384,-49.898891,261.676828,-7.09
193922071.635384,-49.897355999999995,261.676466,-8.214
193922071.660384,-49.89582,261.676104,-7.1690000000000005
193922071.685384,-49.894284,261.675741,-7.4830000000000005
193922071.71038398,-49.892748,261.67537899999996,-7.341
193922071.735384,-49.891211,261.67501799999997,-6.013
193922071.760384,-49.889672999999995,261.67465999999996,-7.072
193922071.785384,-49.888135,261.674303,-7.365
193922071.810384,-49.886596999999995,261.673946,-7.103
193922071.83538398,-49.885058,261.673589,-5.173
193922071.860384,-49.883519,261.673229,-6.296
193922071.885384,-49.88198,261.672869,-5.832
193922071.910384,-49.880441999999995,261.672506,-6.1290000000000004
193922071.935384,-49.878904,261.672142,-6.1450000000000005
193922071.96038398,-49.877368999999995,261.67177499999997,-7.481
193922071.985384,-49.875834999999995,261.671407,-7.958
193922072.010384,-49.874302,261.671037,-7.776
193922072.035384,-49.872768,261.670666,-6.355
193922072.060384,-49.871233,261.670293,-5.7860000000000005
193922072.085385,-49.869696999999995,261.669919,-7.319
193922072.110385,-49.868161,261.66954699999997,-6.857
193922072.135384,-49.866626,261.669176,-5.62
193922072.160384,-49.865089,261.668809,-7.5200000000000005
193922072.185384,-49.863552999999996,261.66844599999996,-6.323
193922072.21038398,-49.862016999999994,261.66808599999996,-7.117
193922072.235384,-49.860482,261.667728,-6.6850000000000005
193922072.260384,-49.858947,261.667378,-6.769
193922072.285384,-49.857413,261.667029,-7.224
193922072.310384,-49.855878999999995,261.666682,-6.722
193922072.33538398,-49.854344999999995,261.666335,-7.38
193922072.360384,-49.85281,261.665984,-6.723
193922072.385384,-49.851274,261.665633,-7.16
193922072.410384,-49.849739,261.66528,-7.474
193922072.435384,-49.848203,261.664924,-6.6370000000000005
193922072.46038398,-49.846668,261.664563,-6.01
193922072.485384,-49.845130999999995,261.664201,-7.15
193922072.510384,-49.843595,261.663837,-7.42
193922072.535384,-49.842059,261.663474,-7.957
193922072.560384,-49.840523,261.663111,-7.598
193922072.58538398,-49.838986999999996,261.66274999999996,-8.176
193922072.610384,-49.83745,261.66238899999996,-7.448
193922072.635384,-49.835913999999995,261.66203,-7.321
193922072.660384,-49.834376,261.661675,-7.054
193922072.685384,-49.832837999999995,261.66132,-6.976
193922072.71038398,-49.8313,261.660966,-6.192
193922072.735384,-49.829761999999995,261.66060999999996,-6.997
193922072.760384,-49.828227,261.660252,-4.916
193922072.785384,-49.826691,261.659892,-7.007000000000001
193922072.810384,-49.825156,261.65952999999996,-5.057
193922072.83538398,-49.823620999999996,261.659165,-6.646
193922072.860384,-49.822084,261.658795,-6.5120000000000005
193922072.885384,-49.820547,261.65842299999997,-6.915
193922072.910384,-49.81901,261.65805,-6.8740000000000006
193922072.935384,-49.817474,261.657677,-6.332
193922072.96038398,-49.81594,261.657306,-6.777
193922072.985384,-49.814406,261.656936,-6.949
193922073.010384,-49.812872,261.656568,-6.216
193922073.035384,-49.811336999999995,261.656203,-5.791
193922073.060384,-49.809801,261.655843,-6.98
193922073.08538398,-49.808263,261.655486,-7.948
193922073.110384,-49.806725,261.655131,-6.859
193922073.135384,-49.805187,261.65477699999997,-7.687
193922073.160384,-49.803647999999995,261.654422,-6.712
193922073.185384,-49.80211,261.654068,-7.415
193922073.21038398,-49.800571999999995,261.653714,-6.862
193922073.235384,-49.799034999999996,261.65335999999996,-7.0520000000000005
193922073.260384,-49.797503,261.653004,-6.593
193922073.285384,-49.79597,261.652648,-7.291
193922073.310384,-49.794439,261.652292,-6.6160000000000005
193922073.33538398,-49.792905999999995,261.651936,-5.98
193922073.360384,-49.791371999999996,261.65157899999997,-7.062
193922073.385384,-49.789837,261.65122199999996,-6.937
193922073.410384,-49.7883,261.650866,-7.283
193922073.435384,-49.786763,261.65051,-7.394
193922073.46038398,-49.785222,261.650157,-8.782
193922073.485384,-49.783682,261.649805,-6.651
193922073.510384,-49.782140999999996,261.649452,-6.2010000000000005
193922073.535384,-49.7806,261.649099,-7.495
193922073.560384,-49.779061,261.64874299999997,-6.902
193922073.58538398,-49.777522,261.648387,-7.21
193922073.610384,-49.775985,261.648028,-6.364
193922073.635384,-49.774449,261.647667,-7.115
193922073.660384,-49.772914,261.64730199999997,-6.003
193922073.685384,-49.771381,261.646936,-7.096
193922073.71038398,-49.769847999999996,261.646567,-6.812
193922073.735384,-49.768316,261.64619799999997,-7.33
193922073.760384,-49.766783,261.645827,-6.198
193922073.785384,-49.765251,261.64545599999997,-6.056
193922073.810384,-49.763717,261.645086,-6.855
