fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
40,2023/10/02 00:00:00,2023/10/02 20:49:58,2023/10/03 02:49:58,2023/10/02 19:49:58,55.5522,-116.5638,-13,1
41,2023/10/02 00:00:00,2023/10/02 20:54:13,2023/10/03 02:54:13,2023/10/02 19:54:13,55.5485,-116.5319,-12,3
42,2023/10/02 00:00:00,2023/10/02 21:01:24,2023/10/03 03:01:24,2023/10/02 20:01:24,55.5054,-116.4906,-11,0
43,2023/10/02 00:00:00,2023/10/02 21:03:27,2023/10/03 03:03:27,2023/10/02 20:03:27,55.5113,-116.5156,-24,1
44,2023/10/02 00:00:00,2023/10/02 21:03:27,2023/10/03 03:03:27,2023/10/02 20:03:27,55.5096,-116.5767,-13,1
45,2023/10/02 00:00:00,2023/10/02 21:04:59,2023/10/03 03:04:59,2023/10/02 20:04:59,55.5016,-116.4475,-13,1
46,2023/10/02 00:00:00,2023/10/02 21:06:23,2023/10/03 03:06:23,2023/10/02 20:06:23,55.5076,-116.4959,-21,1
47,2023/10/02 00:00:00,2023/10/02 21:06:23,2023/10/03 03:06:23,2023/10/02 20:06:23,55.4862,-116.4735,-26,1
48,2023/10/02 00:00:00,2023/10/02 21:08:11,2023/10/03 03:08:11,2023/10/02 20:08:11,55.4746,-116.471,-14,1
49,2023/10/02 00:00:00,2023/10/02 21:09:51,2023/10/03 03:09:51,2023/10/02 20:09:51,55.4489,-116.3764,-33,1
50,2023/10/02 00:00:00,2023/10/02 21:09:51,2023/10/03 03:09:51,2023/10/02 20:09:51,55.5491,-116.3412,-42,3
51,2023/10/02 00:00:00,2023/10/02 21:12:44,2023/10/03 03:12:44,2023/10/02 20:12:44,55.466,-116.3995,-17,2
52,2023/10/02 00:00:00,2023/10/02 21:12:45,2023/10/03 03:12:45,2023/10/02 20:12:45,55.4669,-116.4,-24,2
53,2023/10/02 00:00:00,2023/10/02 21:15:08,2023/10/03 03:15:08,2023/10/02 20:15:08,55.4668,-116.3755,-15,0
54,2023/10/02 00:00:00,2023/10/02 21:19:14,2023/10/03 03:19:14,2023/10/02 20:19:14,55.4693,-116.3123,23,1
55,2023/10/02 00:00:00,2023/10/02 21:19:14,2023/10/03 03:19:14,2023/10/02 20:19:14,56.2026,-115.8655,14,0
56,2023/10/02 00:00:00,2023/10/02 21:35:24,2023/10/03 03:35:24,2023/10/02 20:35:24,55.4723,-116.0961,-13,1
57,2023/10/02 00:00:00,2023/10/02 21:35:25,2023/10/03 03:35:25,2023/10/02 20:35:25,55.5503,-116.1636,-40,3
58,2023/10/02 00:00:00,2023/10/02 21:37:10,2023/10/03 03:37:10,2023/10/02 20:37:10,55.6626,-116.0178,7,0
