fid,date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
40,2023/04/17 00:00:00,2023/04/17 16:16:51,2023/04/17 22:16:51,2023/04/17 15:16:51,52.7357,-112.2189,-32,1
41,2023/04/17 00:00:00,2023/04/17 16:18:45,2023/04/17 22:18:45,2023/04/17 15:18:45,52.7347,-112.2534,-39,2
42,2023/04/17 00:00:00,2023/04/17 16:21:24,2023/04/17 22:21:24,2023/04/17 15:21:24,52.7616,-112.3298,-32,3
43,2023/04/17 00:00:00,2023/04/17 16:21:28,2023/04/17 22:21:28,2023/04/17 15:21:28,53.0961,-112.3391,-13,1
44,2023/04/17 00:00:00,2023/04/17 16:21:46,2023/04/17 22:21:46,2023/04/17 15:21:46,52.9466,-112.4574,-73,2
45,2023/04/17 00:00:00,2023/04/17 16:22:03,2023/04/17 22:22:03,2023/04/17 15:22:03,53.3916,-111.9439,49,1
46,2023/04/17 00:00:00,2023/04/17 16:24:36,2023/04/17 22:24:36,2023/04/17 15:24:36,53.4129,-111.9496,103,1
47,2023/04/17 00:00:00,2023/04/17 16:28:17,2023/04/17 22:28:17,2023/04/17 15:28:17,53.0581,-112.3703,-42,2
48,2023/04/17 00:00:00,2023/04/17 16:30:40,2023/04/17 22:30:40,2023/04/17 15:30:40,54.4297,-113.0486,-20,1
49,2023/04/17 00:00:00,2023/04/17 16:30:40,2023/04/17 22:30:40,2023/04/17 15:30:40,52.8057,-112.1549,44,1
50,2023/04/17 00:00:00,2023/04/17 16:33:33,2023/04/17 22:33:33,2023/04/17 15:33:33,53.3281,-112.1581,-16,0
51,2023/04/17 00:00:00,2023/04/17 16:34:48,2023/04/17 22:34:48,2023/04/17 15:34:48,53.257,-112.3298,52,1
52,2023/04/17 00:00:00,2023/04/17 16:36:16,2023/04/17 22:36:16,2023/04/17 15:36:16,52.9679,-112.329,14,0
53,2023/04/17 00:00:00,2023/04/17 16:36:35,2023/04/17 22:36:35,2023/04/17 15:36:35,52.8692,-112.2231,-23,1
54,2023/04/17 00:00:00,2023/04/17 16:37:35,2023/04/17 22:37:35,2023/04/17 15:37:35,54.0547,-111.4574,15,0
55,2023/04/17 00:00:00,2023/04/17 16:38:14,2023/04/17 22:38:14,2023/04/17 15:38:14,53.3451,-112.2005,-36,1
56,2023/04/17 00:00:00,2023/04/17 16:38:15,2023/04/17 22:38:15,2023/04/17 15:38:15,53.2718,-112.2974,-47,9
57,2023/04/17 00:00:00,2023/04/17 16:38:16,2023/04/17 22:38:16,2023/04/17 15:38:16,53.2707,-112.2902,-25,1
58,2023/04/17 00:00:00,2023/04/17 16:40:27,2023/04/17 22:40:27,2023/04/17 15:40:27,52.7583,-112.4454,-94,1
59,2023/04/17 00:00:00,2023/04/17 16:40:45,2023/04/17 22:40:45,2023/04/17 15:40:45,53.4374,-112.1344,-16,0
60,2023/04/17 00:00:00,2023/04/17 16:41:14,2023/04/17 22:41:14,2023/04/17 15:41:14,56.5328,-113.1599,7,0
61,2023/04/17 00:00:00,2023/04/17 16:41:57,2023/04/17 22:41:57,2023/04/17 15:41:57,52.8613,-112.2153,33,1
62,2023/04/17 00:00:00,2023/04/17 16:42:17,2023/04/17 22:42:17,2023/04/17 15:42:17,54.0934,-113.238,-8,0
63,2023/04/17 00:00:00,2023/04/17 16:42:17,2023/04/17 22:42:17,2023/04/17 15:42:17,53.2646,-112.8075,-20,1
64,2023/04/17 00:00:00,2023/04/17 16:44:50,2023/04/17 22:44:50,2023/04/17 15:44:50,53.2707,-112.7502,-19,2
65,2023/04/17 00:00:00,2023/04/17 16:46:16,2023/04/17 22:46:16,2023/04/17 15:46:16,53.2648,-112.8142,-25,1
66,2023/04/17 00:00:00,2023/04/17 16:46:17,2023/04/17 22:46:17,2023/04/17 15:46:17,53.2329,-112.8272,-16,2
67,2023/04/17 00:00:00,2023/04/17 16:47:55,2023/04/17 22:47:55,2023/04/17 15:47:55,53.138,-112.4458,-113,3
68,2023/04/17 00:00:00,2023/04/17 16:50:04,2023/04/17 22:50:04,2023/04/17 15:50:04,53.2174,-112.303,-32,2
69,2023/04/17 00:00:00,2023/04/17 16:50:10,2023/04/17 22:50:10,2023/04/17 15:50:10,53.3381,-112.2694,-25,1
70,2023/04/17 00:00:00,2023/04/17 16:52:22,2023/04/17 22:52:22,2023/04/17 15:52:22,52.9062,-112.2463,38,1
71,2023/04/17 00:00:00,2023/04/17 16:55:19,2023/04/17 22:55:19,2023/04/17 15:55:19,53.1278,-112.5003,-61,1
72,2023/04/17 00:00:00,2023/04/17 16:55:19,2023/04/17 22:55:19,2023/04/17 15:55:19,53.2055,-112.3086,-39,2
73,2023/04/17 00:00:00,2023/04/17 16:56:51,2023/04/17 22:56:51,2023/04/17 15:56:51,53.3223,-112.2592,41,1
74,2023/04/17 00:00:00,2023/04/17 16:57:01,2023/04/17 22:57:01,2023/04/17 15:57:01,54.125,-111.3839,28,1
75,2023/04/17 00:00:00,2023/04/17 17:00:34,2023/04/17 23:00:34,2023/04/17 16:00:34,53.3778,-113.081,13,5
76,2023/04/17 00:00:00,2023/04/17 17:00:34,2023/04/17 23:00:34,2023/04/17 16:00:34,53.3146,-112.9374,-91,5
77,2023/04/17 00:00:00,2023/04/17 17:01:23,2023/04/17 23:01:23,2023/04/17 16:01:23,52.9799,-112.3124,49,2
78,2023/04/17 00:00:00,2023/04/17 17:01:31,2023/04/17 23:01:31,2023/04/17 16:01:31,53.3782,-113.2102,-22,4
79,2023/04/17 00:00:00,2023/04/17 17:02:52,2023/04/17 23:02:52,2023/04/17 16:02:52,53.3622,-113.1287,-59,1
80,2023/04/17 00:00:00,2023/04/17 17:03:14,2023/04/17 23:03:14,2023/04/17 16:03:14,53.5056,-112.6741,18,0
81,2023/04/17 00:00:00,2023/04/17 17:06:00,2023/04/17 23:06:00,2023/04/17 16:06:00,52.9808,-112.1624,-13,0
82,2023/04/17 00:00:00,2023/04/17 17:06:27,2023/04/17 23:06:27,2023/04/17 16:06:27,53.5904,-111.8684,-17,1
83,2023/04/17 00:00:00,2023/04/17 17:06:27,2023/04/17 23:06:27,2023/04/17 16:06:27,53.5168,-112.0316,-17,1
84,2023/04/17 00:00:00,2023/04/17 17:06:51,2023/04/17 23:06:51,2023/04/17 16:06:51,53.059,-112.2339,20,1
85,2023/04/17 00:00:00,2023/04/17 17:07:14,2023/04/17 23:07:14,2023/04/17 16:07:14,53.4465,-112.6923,64,1
86,2023/04/17 00:00:00,2023/04/17 17:11:10,2023/04/17 23:11:10,2023/04/17 16:11:10,53.5734,-111.8009,22,1
87,2023/04/17 00:00:00,2023/04/17 17:13:24,2023/04/17 23:13:24,2023/04/17 16:13:24,53.3663,-112.7031,-24,1
88,2023/04/17 00:00:00,2023/04/17 17:13:35,2023/04/17 23:13:35,2023/04/17 16:13:35,52.9242,-112.2986,-19,5
