date_group,local_striketime,gmt_striketime,mst_striketime,latitude,longitude,strength,multiplicity
2023/01/07 00:00:00,2023/01/07 23:26:02,2023/01/08 06:26:02,2023/01/07 23:26:02,53.5529,-118.4967,19,1
2023/03/24 00:00:00,2023/03/24 16:14:02,2023/03/24 22:14:02,2023/03/24 15:14:02,54.0556,-119.6817,-14,1
